# Gene set generated on 2022-09-20T13:31:02 using cellxgene version 1.1.0,,,
# Input data file was BloodGlyco.h5ad, which was last modified on 2022-09-16T10:10:25,,
gene_set_name,gene_set_description,gene_symbol,gene_description
all_synth,,NAGPA,
all_synth,,PIGV,
all_synth,,ALG11,
all_synth,,GCNT4,
all_synth,,ST3GAL5,
all_synth,,GALNT17,
all_synth,,POFUT1,
all_synth,,FUT6,
all_synth,,B3GNT3,
all_synth,,B3GNT4,
all_synth,,CSGALNACT2,
all_synth,,PIGQ,
all_synth,,MANEA,
all_synth,,PIGL,
all_synth,,C1GALT1C1,
all_synth,,ALG2,
all_synth,,EDEM1,
all_synth,,UGGT1,
all_synth,,ST8SIA2,
all_synth,,MOGS,
all_synth,,FUT3,
all_synth,,POMT1,
all_synth,,RXYLT1,
all_synth,,ALG3,
all_synth,,MGAT3,
all_synth,,ST8SIA1,
all_synth,,ST3GAL4,
all_synth,,MAN1C1,
all_synth,,PXYLP1,
all_synth,,DPY19L2,
all_synth,,MPPE1,
all_synth,,GALNT7,
all_synth,,ST3GAL3,
all_synth,,B3GALT5,
all_synth,,UGT8,
all_synth,,TMTC3,
all_synth,,B3GAT1,
all_synth,,MGAT4B,
all_synth,,PIGK,
all_synth,,B3GALNT1,
all_synth,,PIGM,
all_synth,,MGAT4C,
all_synth,,GCNT3,
all_synth,,PIGC,
all_synth,,RPN1,
all_synth,,FUT8,
all_synth,,B4GALT7,
all_synth,,B3GNT8,
all_synth,,PIGZ,
all_synth,,ABO,
all_synth,,ST6GALNAC6,
all_synth,,CSGALNACT1,
all_synth,,PIGP,
all_synth,,PIGB,
all_synth,,CHSY1,
all_synth,,FUT11,
all_synth,,B4GAT1,
all_synth,,DPM2,
all_synth,,ST8SIA3,
all_synth,,STT3A,
all_synth,,ALG12,
all_synth,,STT3B,
all_synth,,ALG1L2,
all_synth,,DPM1,
all_synth,,ALG13,
all_synth,,HAS2,
all_synth,,FUT10,
all_synth,,B4GALNT4,
all_synth,,DPY19L4,
all_synth,,ST6GALNAC3,
all_synth,,FKTN,
all_synth,,COLGALT2,
all_synth,,GALNT3,
all_synth,,PIGT,
all_synth,,RPN2,
all_synth,,CHPF2,
all_synth,,FAM20B,
all_synth,,FUT7,
all_synth,,GXYLT1,
all_synth,,PLOD1,
all_synth,,GALNT4,
all_synth,,POMGNT1,
all_synth,,B3GNT2,
all_synth,,GALNT15,
all_synth,,PIGW,
all_synth,,FKRP,
all_synth,,MFNG,
all_synth,,GALNT2,
all_synth,,MAN2A1,
all_synth,,FUT1,
all_synth,,B4GALNT1,
all_synth,,GALNT9,
all_synth,,PIGS,
all_synth,,B3GALT2,
all_synth,,EXTL1,
all_synth,,MGAT1,
all_synth,,FUT9,
all_synth,,GPAA1,
all_synth,,B3GALT4,
all_synth,,DPY19L1,
all_synth,,GCNT1,
all_synth,,CHPF,
all_synth,,PLOD3,
all_synth,,GALNT10,
all_synth,,GALNT5,
all_synth,,ALG14,
all_synth,,LARGE1,
all_synth,,MGAT5B,
all_synth,,ALG10,
all_synth,,UGGT2,
all_synth,,GALNT11,
all_synth,,CHSY3,
all_synth,,POMGNT2,
all_synth,,GNPTAB,
all_synth,,PGAP4,
all_synth,,POMK,
all_synth,,FUT5,
all_synth,,ST6GALNAC4,
all_synth,,UGCG,
all_synth,,ST3GAL6,
all_synth,,GNPTG,
all_synth,,B3GNT5,
all_synth,,ST6GALNAC1,
all_synth,,CRPPA,
all_synth,,ALG8,
all_synth,,HAS3,
all_synth,,B3GNT7,
all_synth,,A3GALT2,
all_synth,,PIGA,
all_synth,,ST8SIA5,
all_synth,,DSE,
all_synth,,PRKCSH,
all_synth,,ALG9,
all_synth,,EXT1,
all_synth,,ST3GAL1,
all_synth,,A4GALT,
all_synth,,GALNT1,
all_synth,,B4GALT1,
all_synth,,B4GALNT2,
all_synth,,MAN1A1,
all_synth,,ST6GALNAC2,
all_synth,,CHST9,
all_synth,,GALNT13,
all_synth,,CHST8,
all_synth,,B4GALNT3,
all_synth,,EDEM2,
all_synth,,B4GALT4,
all_synth,,B3GALT1,
all_synth,,B4GALT2,
all_synth,,HAS1,
all_synth,,XYLT1,
all_synth,,DPY19L3,
all_synth,,A4GNT,
all_synth,,EXTL3,
all_synth,,FUT2,
all_synth,,POGLUT3,
all_synth,,LARGE2,
all_synth,,GALNT6,
all_synth,,B3GALT6,
capping_synth,,ST6GALNAC2,
capping_synth,,B4GALNT2,
capping_synth,,B4GALNT3,
capping_synth,,B3GALNT2,
capping_synth,,ST8SIA4,
capping_synth,,ST3GAL2,
capping_synth,,CHST10,
capping_synth,,ST8SIA2,
capping_synth,,ST6GAL1,
capping_synth,,FUT3,
capping_synth,,B3GAT2,
capping_synth,,CASD1,
capping_synth,,ST8SIA6,
capping_synth,,FUT4,
capping_synth,,ST6GAL2,
capping_synth,,ST3GAL3,
capping_synth,,ST6GALNAC5,
capping_synth,,B3GAT1,
capping_synth,,ST6GALNAC6,
capping_synth,,ABO,
capping_synth,,ST8SIA3,
capping_synth,,ST3GAL5,
capping_synth,,FUT6,
capping_synth,,FUT10,
capping_synth,,ST8SIA1,
capping_synth,,ST3GAL4,
capping_synth,,FUT1,
capping_synth,,FUT9,
capping_synth,,FUT11,
capping_synth,,FUT5,
capping_synth,,ST6GALNAC4,
capping_synth,,ST6GALNAC3,
capping_synth,,ST6GALNAC1,
capping_synth,,A3GALT2,
capping_synth,,FUT7,
capping_synth,,ST8SIA5,
capping_synth,,CHST9,
capping_synth,,CHST8,
capping_synth,,FUT2,
